,provinceName,provinceShortName,cityName,yesterdayLocalConfirmedCount,currentConfirmedCount,confirmedCount,dangerCountIncr,currentDangerCount,locationId,statisticsData
0,云南省,云南,德宏州,1,79,94,0,9,530000,https://file1.dxycdn.com/2020/0223/159/3398299758115523929-135.json
1,上海市,上海,上海,0,59,1940,0,0,310000,https://file1.dxycdn.com/2020/0223/128/3398299755968454977-135.json
2,广东省,广东,广州,0,37,1113,0,0,440000,https://file1.dxycdn.com/2020/0223/281/3398299758115524068-135.json
3,四川省,四川,成都,0,16,564,0,0,510000,https://file1.dxycdn.com/2020/0223/926/3398299755968455035-135.json
4,北京市,北京,北京,0,10,1057,0,0,110000,https://file1.dxycdn.com/2020/0223/004/3398299758115524169-135.json
5,天津市,天津,天津,0,7,379,0,0,120000,https://file1.dxycdn.com/2020/0223/669/3398299753820555949-135.json
6,广东省,广东,肇庆,0,5,32,0,0,440000,https://file1.dxycdn.com/2020/0223/281/3398299758115524068-135.json
7,湖北省,湖北,武汉,0,3,50360,0,0,420000,https://file1.dxycdn.com/2020/0223/618/3398299751673487511-135.json
8,广东省,广东,深圳,0,3,502,0,0,440000,https://file1.dxycdn.com/2020/0223/281/3398299758115524068-135.json
9,广东省,广东,佛山,0,3,132,0,0,440000,https://file1.dxycdn.com/2020/0223/281/3398299758115524068-135.json
10,河北省,河北,保定,0,1,49,0,0,130000,https://file1.dxycdn.com/2020/0223/473/3398299751673487477-135.json
11,广东省,广东,清远,0,1,14,0,0,440000,https://file1.dxycdn.com/2020/0223/281/3398299758115524068-135.json
,provinceName,provinceShortName,cityName,yesterdayLocalConfirmedCount,currentConfirmedCount,confirmedCount,dangerCountIncr,currentDangerCount,locationId,statisticsData
0,云南省,云南,德宏州,1,79,94,0,9,530000,https://file1.dxycdn.com/2020/0223/159/3398299758115523929-135.json
1,上海市,上海,上海,0,59,1940,0,0,310000,https://file1.dxycdn.com/2020/0223/128/3398299755968454977-135.json
2,广东省,广东,广州,0,37,1113,0,0,440000,https://file1.dxycdn.com/2020/0223/281/3398299758115524068-135.json
3,四川省,四川,成都,0,16,564,0,0,510000,https://file1.dxycdn.com/2020/0223/926/3398299755968455035-135.json
4,北京市,北京,北京,0,10,1057,0,0,110000,https://file1.dxycdn.com/2020/0223/004/3398299758115524169-135.json
5,天津市,天津,天津,0,7,379,0,0,120000,https://file1.dxycdn.com/2020/0223/669/3398299753820555949-135.json
6,广东省,广东,肇庆,0,5,32,0,0,440000,https://file1.dxycdn.com/2020/0223/281/3398299758115524068-135.json
7,湖北省,湖北,武汉,0,3,50360,0,0,420000,https://file1.dxycdn.com/2020/0223/618/3398299751673487511-135.json
8,广东省,广东,深圳,0,3,502,0,0,440000,https://file1.dxycdn.com/2020/0223/281/3398299758115524068-135.json
9,广东省,广东,佛山,0,3,132,0,0,440000,https://file1.dxycdn.com/2020/0223/281/3398299758115524068-135.json
10,河北省,河北,保定,0,1,49,0,0,130000,https://file1.dxycdn.com/2020/0223/473/3398299751673487477-135.json
11,广东省,广东,清远,0,1,14,0,0,440000,https://file1.dxycdn.com/2020/0223/281/3398299758115524068-135.json
,provinceName,provinceShortName,cityName,yesterdayLocalConfirmedCount,currentConfirmedCount,confirmedCount,dangerCountIncr,currentDangerCount,locationId,statisticsData
0,云南省,云南,德宏州,1,79,94,0,9,530000,https://file1.dxycdn.com/2020/0223/159/3398299758115523929-135.json
1,上海市,上海,上海,0,59,1940,0,0,310000,https://file1.dxycdn.com/2020/0223/128/3398299755968454977-135.json
2,广东省,广东,广州,0,37,1113,0,0,440000,https://file1.dxycdn.com/2020/0223/281/3398299758115524068-135.json
3,四川省,四川,成都,0,16,564,0,0,510000,https://file1.dxycdn.com/2020/0223/926/3398299755968455035-135.json
4,北京市,北京,北京,0,10,1057,0,0,110000,https://file1.dxycdn.com/2020/0223/004/3398299758115524169-135.json
5,天津市,天津,天津,0,7,379,0,0,120000,https://file1.dxycdn.com/2020/0223/669/3398299753820555949-135.json
6,广东省,广东,肇庆,0,5,32,0,0,440000,https://file1.dxycdn.com/2020/0223/281/3398299758115524068-135.json
7,湖北省,湖北,武汉,0,3,50360,0,0,420000,https://file1.dxycdn.com/2020/0223/618/3398299751673487511-135.json
8,广东省,广东,深圳,0,3,502,0,0,440000,https://file1.dxycdn.com/2020/0223/281/3398299758115524068-135.json
9,广东省,广东,佛山,0,3,132,0,0,440000,https://file1.dxycdn.com/2020/0223/281/3398299758115524068-135.json
10,河北省,河北,保定,0,1,49,0,0,130000,https://file1.dxycdn.com/2020/0223/473/3398299751673487477-135.json
11,广东省,广东,清远,0,1,14,0,0,440000,https://file1.dxycdn.com/2020/0223/281/3398299758115524068-135.json
,provinceName,provinceShortName,cityName,yesterdayLocalConfirmedCount,currentConfirmedCount,confirmedCount,dangerCountIncr,currentDangerCount,locationId,statisticsData
0,云南省,云南,德宏州,1,79,94,0,9,530000,https://file1.dxycdn.com/2020/0223/159/3398299758115523929-135.json
1,上海市,上海,上海,0,59,1940,0,0,310000,https://file1.dxycdn.com/2020/0223/128/3398299755968454977-135.json
2,广东省,广东,广州,0,37,1113,0,0,440000,https://file1.dxycdn.com/2020/0223/281/3398299758115524068-135.json
3,四川省,四川,成都,0,16,564,0,0,510000,https://file1.dxycdn.com/2020/0223/926/3398299755968455035-135.json
4,北京市,北京,北京,0,10,1057,0,0,110000,https://file1.dxycdn.com/2020/0223/004/3398299758115524169-135.json
5,天津市,天津,天津,0,7,379,0,0,120000,https://file1.dxycdn.com/2020/0223/669/3398299753820555949-135.json
6,广东省,广东,肇庆,0,5,32,0,0,440000,https://file1.dxycdn.com/2020/0223/281/3398299758115524068-135.json
7,湖北省,湖北,武汉,0,3,50360,0,0,420000,https://file1.dxycdn.com/2020/0223/618/3398299751673487511-135.json
8,广东省,广东,深圳,0,3,502,0,0,440000,https://file1.dxycdn.com/2020/0223/281/3398299758115524068-135.json
9,广东省,广东,佛山,0,3,132,0,0,440000,https://file1.dxycdn.com/2020/0223/281/3398299758115524068-135.json
10,河北省,河北,保定,0,1,49,0,0,130000,https://file1.dxycdn.com/2020/0223/473/3398299751673487477-135.json
11,广东省,广东,清远,0,1,14,0,0,440000,https://file1.dxycdn.com/2020/0223/281/3398299758115524068-135.json
,provinceName,provinceShortName,cityName,yesterdayLocalConfirmedCount,currentConfirmedCount,confirmedCount,dangerCountIncr,currentDangerCount,locationId,statisticsData
0,云南省,云南,德宏州,1,79,94,0,9,530000,https://file1.dxycdn.com/2020/0223/159/3398299758115523929-135.json
1,上海市,上海,上海,0,59,1940,0,0,310000,https://file1.dxycdn.com/2020/0223/128/3398299755968454977-135.json
2,广东省,广东,广州,0,37,1113,0,0,440000,https://file1.dxycdn.com/2020/0223/281/3398299758115524068-135.json
3,四川省,四川,成都,0,16,564,0,0,510000,https://file1.dxycdn.com/2020/0223/926/3398299755968455035-135.json
4,北京市,北京,北京,0,10,1057,0,0,110000,https://file1.dxycdn.com/2020/0223/004/3398299758115524169-135.json
5,天津市,天津,天津,0,7,379,0,0,120000,https://file1.dxycdn.com/2020/0223/669/3398299753820555949-135.json
6,广东省,广东,肇庆,0,5,32,0,0,440000,https://file1.dxycdn.com/2020/0223/281/3398299758115524068-135.json
7,湖北省,湖北,武汉,0,3,50360,0,0,420000,https://file1.dxycdn.com/2020/0223/618/3398299751673487511-135.json
8,广东省,广东,深圳,0,3,502,0,0,440000,https://file1.dxycdn.com/2020/0223/281/3398299758115524068-135.json
9,广东省,广东,佛山,0,3,132,0,0,440000,https://file1.dxycdn.com/2020/0223/281/3398299758115524068-135.json
10,河北省,河北,保定,0,1,49,0,0,130000,https://file1.dxycdn.com/2020/0223/473/3398299751673487477-135.json
11,广东省,广东,清远,0,1,14,0,0,440000,https://file1.dxycdn.com/2020/0223/281/3398299758115524068-135.json
,provinceName,provinceShortName,cityName,yesterdayLocalConfirmedCount,currentConfirmedCount,confirmedCount,dangerCountIncr,currentDangerCount,locationId,statisticsData
0,云南省,云南,德宏州,1,79,94,0,9,530000,https://file1.dxycdn.com/2020/0223/159/3398299758115523929-135.json
1,上海市,上海,上海,0,59,1940,0,0,310000,https://file1.dxycdn.com/2020/0223/128/3398299755968454977-135.json
2,广东省,广东,广州,0,37,1113,0,0,440000,https://file1.dxycdn.com/2020/0223/281/3398299758115524068-135.json
3,四川省,四川,成都,0,16,564,0,0,510000,https://file1.dxycdn.com/2020/0223/926/3398299755968455035-135.json
4,北京市,北京,北京,0,10,1057,0,0,110000,https://file1.dxycdn.com/2020/0223/004/3398299758115524169-135.json
5,天津市,天津,天津,0,7,379,0,0,120000,https://file1.dxycdn.com/2020/0223/669/3398299753820555949-135.json
6,广东省,广东,肇庆,0,5,32,0,0,440000,https://file1.dxycdn.com/2020/0223/281/3398299758115524068-135.json
7,湖北省,湖北,武汉,0,3,50360,0,0,420000,https://file1.dxycdn.com/2020/0223/618/3398299751673487511-135.json
8,广东省,广东,深圳,0,3,502,0,0,440000,https://file1.dxycdn.com/2020/0223/281/3398299758115524068-135.json
9,广东省,广东,佛山,0,3,132,0,0,440000,https://file1.dxycdn.com/2020/0223/281/3398299758115524068-135.json
10,河北省,河北,保定,0,1,49,0,0,130000,https://file1.dxycdn.com/2020/0223/473/3398299751673487477-135.json
11,广东省,广东,清远,0,1,14,0,0,440000,https://file1.dxycdn.com/2020/0223/281/3398299758115524068-135.json
,provinceName,provinceShortName,cityName,yesterdayLocalConfirmedCount,currentConfirmedCount,confirmedCount,dangerCountIncr,currentDangerCount,locationId,statisticsData
0,云南省,云南,德宏州,1,79,94,0,9,530000,https://file1.dxycdn.com/2020/0223/159/3398299758115523929-135.json
1,上海市,上海,上海,0,59,1940,0,0,310000,https://file1.dxycdn.com/2020/0223/128/3398299755968454977-135.json
2,广东省,广东,广州,0,37,1113,0,0,440000,https://file1.dxycdn.com/2020/0223/281/3398299758115524068-135.json
3,四川省,四川,成都,0,16,564,0,0,510000,https://file1.dxycdn.com/2020/0223/926/3398299755968455035-135.json
4,北京市,北京,北京,0,10,1057,0,0,110000,https://file1.dxycdn.com/2020/0223/004/3398299758115524169-135.json
5,天津市,天津,天津,0,7,379,0,0,120000,https://file1.dxycdn.com/2020/0223/669/3398299753820555949-135.json
6,广东省,广东,肇庆,0,5,32,0,0,440000,https://file1.dxycdn.com/2020/0223/281/3398299758115524068-135.json
7,湖北省,湖北,武汉,0,3,50360,0,0,420000,https://file1.dxycdn.com/2020/0223/618/3398299751673487511-135.json
8,广东省,广东,深圳,0,3,502,0,0,440000,https://file1.dxycdn.com/2020/0223/281/3398299758115524068-135.json
9,广东省,广东,佛山,0,3,132,0,0,440000,https://file1.dxycdn.com/2020/0223/281/3398299758115524068-135.json
10,河北省,河北,保定,0,1,49,0,0,130000,https://file1.dxycdn.com/2020/0223/473/3398299751673487477-135.json
11,广东省,广东,清远,0,1,14,0,0,440000,https://file1.dxycdn.com/2020/0223/281/3398299758115524068-135.json
